date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
18:01:15	7621/7621	---MCZ	200	added ('OK')	application/javascript	date:Wed,%2014%20Jan%202015%2020:02:11%20GMT	http://www.kouthair.tn/crypto/nivo-lightbox/nivo-lightbox.min.js	C:/Mes%20Sites%20Web/greatcv/www.kouthair.tn/crypto/nivo-lightbox/nivo-lightbox.min.js	(from http://www.kouthair.tn/)
18:01:16	19359/19359	---MCZ	200	added ('OK')	application/javascript	date:Wed,%2014%20Jan%202015%2020:02:09%20GMT	http://www.kouthair.tn/crypto/jquery.bxslider.min.js	C:/Mes%20Sites%20Web/greatcv/www.kouthair.tn/crypto/jquery.bxslider.min.js	(from http://www.kouthair.tn/)
18:01:16	4639/4639	---MCZ	200	added ('OK')	application/javascript	date:Wed,%2014%20Jan%202015%2020:02:10%20GMT	http://www.kouthair.tn/crypto/placeholders.jquery.min.js	C:/Mes%20Sites%20Web/greatcv/www.kouthair.tn/crypto/placeholders.jquery.min.js	(from http://www.kouthair.tn/)
18:01:16	21601/21601	---MCZ	200	added ('OK')	application/javascript	date:Wed,%2014%20Jan%202015%2020:02:10%20GMT	http://www.kouthair.tn/crypto/jquery.validate.min.js	C:/Mes%20Sites%20Web/greatcv/www.kouthair.tn/crypto/jquery.validate.min.js	(from http://www.kouthair.tn/)
18:01:17	1073/1073	---MCZ	200	added ('OK')	application/javascript	date:Wed,%2014%20Jan%202015%2020:03:04%20GMT	http://www.kouthair.tn/js/cross-browser.js	C:/Mes%20Sites%20Web/greatcv/www.kouthair.tn/js/cross-browser.js	(from http://www.kouthair.tn/)
18:01:18	4453/4453	---MCZ	200	added ('OK')	application/javascript	date:Wed,%2014%20Jan%202015%2020:03:04%20GMT	http://www.kouthair.tn/js/main.js	C:/Mes%20Sites%20Web/greatcv/www.kouthair.tn/js/main.js	(from http://www.kouthair.tn/)
18:01:21	20335/20335	---M--	200	added ('OK')	application/vnd.ms-fontobject	date:Wed,%2014%20Jan%202015%2020:02:13%20GMT	http://www.kouthair.tn/crypto/bootstrap/fonts/glyphicons-halflings-regular.eot	C:/Mes%20Sites%20Web/greatcv/www.kouthair.tn/crypto/bootstrap/fonts/glyphicons-halflings-regular.eot	(from http://www.kouthair.tn/crypto/bootstrap/css/bootstrap.min.css)
18:01:23	20335/20335	---M--	200	added ('OK')	application/vnd.ms-fontobject	date:Wed,%2014%20Jan%202015%2020:02:15%20GMT	http://www.kouthair.tn/crypto/bootstrap/fonts/glyphicons-halflings-regulard41d.eot?	C:/Mes%20Sites%20Web/greatcv/www.kouthair.tn/crypto/bootstrap/fonts/glyphicons-halflings-regulard41dd41d.eot	(from http://www.kouthair.tn/crypto/bootstrap/css/bootstrap.min.css)
18:01:26	25252/25252	---MC-	200	added ('OK')	text/javascript	date:Wed,%2027%20May%202015%2021:02:55%20GMT	http://www.google-analytics.com/analytics.js	C:/Mes%20Sites%20Web/greatcv/www.google-analytics.com/analytics.js	(from http://www.kouthair.tn/)
18:01:26	23320/23320	---M--	200	added ('OK')	application/x-font-woff	date:Wed,%2014%20Jan%202015%2020:02:15%20GMT	http://www.kouthair.tn/crypto/bootstrap/fonts/glyphicons-halflings-regular.woff	C:/Mes%20Sites%20Web/greatcv/www.kouthair.tn/crypto/bootstrap/fonts/glyphicons-halflings-regular.woff	(from http://www.kouthair.tn/crypto/bootstrap/css/bootstrap.min.css)
18:01:27	62927/62927	---M--	200	added ('OK')	image/svg+xml	date:Wed,%2014%20Jan%202015%2020:02:14%20GMT	http://www.kouthair.tn/crypto/bootstrap/fonts/glyphicons-halflings-regular.svg	C:/Mes%20Sites%20Web/greatcv/www.kouthair.tn/crypto/bootstrap/fonts/glyphicons-halflings-regular.svg	(from http://www.kouthair.tn/crypto/bootstrap/css/bootstrap.min.css)
18:01:33	41280/41280	---M--	200	added ('OK')	application/x-font-ttf	date:Wed,%2014%20Jan%202015%2020:02:15%20GMT	http://www.kouthair.tn/crypto/bootstrap/fonts/glyphicons-halflings-regular.ttf	C:/Mes%20Sites%20Web/greatcv/www.kouthair.tn/crypto/bootstrap/fonts/glyphicons-halflings-regular.ttf	(from http://www.kouthair.tn/crypto/bootstrap/css/bootstrap.min.css)
18:01:33	96381/96381	---MC-	200	added ('OK')	text/javascript	date:Wed,%2029%20Jan%202014%2019:31:45%20GMT	http://ajax.googleapis.com/ajax/libs/jquery/1.11.0/jquery.min.js	C:/Mes%20Sites%20Web/greatcv/ajax.googleapis.com/ajax/libs/jquery/1.11.0/jquery.min.js	(from http://www.kouthair.tn/)
18:01:38	72449/72449	---M--	200	added ('OK')	application/vnd.ms-fontobject	date:Wed,%2014%20Jan%202015%2020:02:19%20GMT	http://www.kouthair.tn/crypto/font-awesome/fonts/fontawesome-webfont862f.eot?v=4.1.0	C:/Mes%20Sites%20Web/greatcv/www.kouthair.tn/crypto/font-awesome/fonts/fontawesome-webfont862f862f.eot	(from http://www.kouthair.tn/crypto/font-awesome/css/font-awesome.min.css)
18:01:40	7303/7303	---M--	200	added ('OK')	image/gif	etag:%2254b6cb52-1c87%22	http://www.kouthair.tn/crypto/nivo-lightbox/themes/default/loading.gif	C:/Mes%20Sites%20Web/greatcv/www.kouthair.tn/crypto/nivo-lightbox/themes/default/loading.gif	(from http://www.kouthair.tn/crypto/nivo-lightbox/themes/default/default.css)
18:01:41	3184/3184	---M--	200	added ('OK')	image/png	etag:%2254b6cb52-c70%22	http://www.kouthair.tn/crypto/nivo-lightbox/themes/default/prev.png	C:/Mes%20Sites%20Web/greatcv/www.kouthair.tn/crypto/nivo-lightbox/themes/default/prev.png	(from http://www.kouthair.tn/crypto/nivo-lightbox/themes/default/default.css)
18:01:42	3193/3193	---M--	200	added ('OK')	image/png	etag:%2254b6cb52-c79%22	http://www.kouthair.tn/crypto/nivo-lightbox/themes/default/next.png	C:/Mes%20Sites%20Web/greatcv/www.kouthair.tn/crypto/nivo-lightbox/themes/default/next.png	(from http://www.kouthair.tn/crypto/nivo-lightbox/themes/default/default.css)
18:01:43	2949/2949	---M--	200	added ('OK')	image/png	etag:%2254b6cb51-b85%22	http://www.kouthair.tn/crypto/nivo-lightbox/themes/default/close.png	C:/Mes%20Sites%20Web/greatcv/www.kouthair.tn/crypto/nivo-lightbox/themes/default/close.png	(from http://www.kouthair.tn/crypto/nivo-lightbox/themes/default/default.css)
18:01:46	18134/18134	---M--	200	added ('OK')	image/gif	etag:%2254b6cb52-46d6%22	http://www.kouthair.tn/crypto/nivo-lightbox/themes/default/loading%402x.gif	C:/Mes%20Sites%20Web/greatcv/www.kouthair.tn/crypto/nivo-lightbox/themes/default/loading@2x.gif	(from http://www.kouthair.tn/crypto/nivo-lightbox/themes/default/default.css)
18:01:47	4224/4224	---M--	200	added ('OK')	image/png	etag:%2254b6cb53-1080%22	http://www.kouthair.tn/crypto/nivo-lightbox/themes/default/prev%402x.png	C:/Mes%20Sites%20Web/greatcv/www.kouthair.tn/crypto/nivo-lightbox/themes/default/prev@2x.png	(from http://www.kouthair.tn/crypto/nivo-lightbox/themes/default/default.css)
18:01:47	83760/83760	---M--	200	added ('OK')	application/x-font-woff	date:Wed,%2014%20Jan%202015%2020:02:23%20GMT	http://www.kouthair.tn/crypto/font-awesome/fonts/fontawesome-webfont862f.woff?v=4.1.0	C:/Mes%20Sites%20Web/greatcv/www.kouthair.tn/crypto/font-awesome/fonts/fontawesome-webfont862f862f.woff	(from http://www.kouthair.tn/crypto/font-awesome/css/font-awesome.min.css)
18:01:48	4235/4235	---M--	200	added ('OK')	image/png	etag:%2254b6cb52-108b%22	http://www.kouthair.tn/crypto/nivo-lightbox/themes/default/next%402x.png	C:/Mes%20Sites%20Web/greatcv/www.kouthair.tn/crypto/nivo-lightbox/themes/default/next@2x.png	(from http://www.kouthair.tn/crypto/nivo-lightbox/themes/default/default.css)
18:01:48	3003/3003	---M--	200	added ('OK')	image/png	etag:%2254b6cb56-bbb%22	http://www.kouthair.tn/img/paper-bg2.png	C:/Mes%20Sites%20Web/greatcv/www.kouthair.tn/img/paper-bg2.png	(from http://www.kouthair.tn/css/styles.css)
18:01:49	3443/3443	---M--	200	added ('OK')	image/png	etag:%2254b6cb55-d73%22	http://www.kouthair.tn/img/paper-bg-bot.png	C:/Mes%20Sites%20Web/greatcv/www.kouthair.tn/img/paper-bg-bot.png	(from http://www.kouthair.tn/css/styles.css)
18:01:50	1067/1067	---M--	200	added ('OK')	image/png	etag:%2254b6cb77-42b%22	http://www.kouthair.tn/img/timeline-bg.png	C:/Mes%20Sites%20Web/greatcv/www.kouthair.tn/img/timeline-bg.png	(from http://www.kouthair.tn/css/styles.css)
18:01:50	1093/1093	---M--	200	added ('OK')	image/png	etag:%2254b6cb74-445%22	http://www.kouthair.tn/img/progress-bar.png	C:/Mes%20Sites%20Web/greatcv/www.kouthair.tn/img/progress-bar.png	(from http://www.kouthair.tn/css/styles.css)
18:01:51	7913/7913	---M--	200	added ('OK')	image/png	etag:%2254b6cb76-1ee9%22	http://www.kouthair.tn/img/progress-point.png	C:/Mes%20Sites%20Web/greatcv/www.kouthair.tn/img/progress-point.png	(from http://www.kouthair.tn/css/styles.css)
18:01:53	8392/8392	---M--	200	added ('OK')	image/png	etag:%2254b6cb75-20c8%22	http://www.kouthair.tn/img/progress-education4.png	C:/Mes%20Sites%20Web/greatcv/www.kouthair.tn/img/progress-education4.png	(from http://www.kouthair.tn/css/styles.css)
18:01:55	8570/8570	---M--	200	added ('OK')	image/png	etag:%2254b6cb77-217a%22	http://www.kouthair.tn/img/progress-work3.png	C:/Mes%20Sites%20Web/greatcv/www.kouthair.tn/img/progress-work3.png	(from http://www.kouthair.tn/css/styles.css)
18:01:56	141564/141564	---M--	200	added ('OK')	application/x-font-ttf	date:Wed,%2014%20Jan%202015%2020:02:23%20GMT	http://www.kouthair.tn/crypto/font-awesome/fonts/fontawesome-webfont862f.ttf?v=4.1.0	C:/Mes%20Sites%20Web/greatcv/www.kouthair.tn/crypto/font-awesome/fonts/fontawesome-webfont862f862f.ttf	(from http://www.kouthair.tn/crypto/font-awesome/css/font-awesome.min.css)
18:01:56	8804/8804	---M--	200	added ('OK')	image/png	etag:%2254b6cb76-2264%22	http://www.kouthair.tn/img/progress-mail3.png	C:/Mes%20Sites%20Web/greatcv/www.kouthair.tn/img/progress-mail3.png	(from http://www.kouthair.tn/css/styles.css)
18:01:57	5799/5799	---M--	200	added ('OK')	image/png	etag:%2254b6cb76-16a7%22	http://www.kouthair.tn/img/progress-section-title3.png	C:/Mes%20Sites%20Web/greatcv/www.kouthair.tn/img/progress-section-title3.png	(from http://www.kouthair.tn/css/styles.css)
18:02:30	477266/477266	---M--	200	added ('OK')	image/jpeg	etag:%2254b6cb5a-74852%22	http://www.kouthair.tn/img/background2.jpg	C:/Mes%20Sites%20Web/greatcv/www.kouthair.tn/img/background2.jpg	(from http://www.kouthair.tn/css/styles.css)
18:03:31	2342056/2342056	---M--	200	added ('OK')	application/pdf	etag:%2254bef464-23bca8%22	http://www.kouthair.tn/cv.pdf	C:/Mes%20Sites%20Web/greatcv/www.kouthair.tn/cv.pdf	(from http://www.kouthair.tn/)
18:03:32	8044/8044	---MCZ	200	added ('OK')	application/javascript	date:Wed,%2014%20Jan%202015%2020:02:10%20GMT	http://www.kouthair.tn/crypto/waypoints.min.js	C:/Mes%20Sites%20Web/greatcv/www.kouthair.tn/crypto/waypoints.min.js	(from http://www.kouthair.tn/)
18:03:33	3097/3097	---M--	200	added ('OK')	image/png	etag:%2254b6cb51-c19%22	http://www.kouthair.tn/crypto/nivo-lightbox/themes/default/close%402x.png	C:/Mes%20Sites%20Web/greatcv/www.kouthair.tn/crypto/nivo-lightbox/themes/default/close@2x.png	(from http://www.kouthair.tn/crypto/nivo-lightbox/themes/default/default.css)
18:03:34	253487/253487	---M--	200	added ('OK')	image/svg+xml	date:Wed,%2014%20Jan%202015%2020:02:21%20GMT	http://www.kouthair.tn/crypto/font-awesome/fonts/fontawesome-webfont862f.svg?v=4.1.0	C:/Mes%20Sites%20Web/greatcv/www.kouthair.tn/crypto/font-awesome/fonts/fontawesome-webfont862f862f.svg	(from http://www.kouthair.tn/crypto/font-awesome/css/font-awesome.min.css)
18:03:37	72449/72449	---M--	200	added ('OK')	application/vnd.ms-fontobject	date:Wed,%2014%20Jan%202015%2020:02:24%20GMT	http://www.kouthair.tn/crypto/font-awesome/fonts/fontawesome-webfontd41d.eot?	C:/Mes%20Sites%20Web/greatcv/www.kouthair.tn/crypto/font-awesome/fonts/fontawesome-webfontd41dd41d.eot	(from http://www.kouthair.tn/crypto/font-awesome/css/font-awesome.min.css)
